Spacing,Greedy,Iterations,Evaluations,Dataset,Radius,Turbines,Run,Objective,WakeLoss,Violation,Feasible,Seconds,Coordinates
4D,False,100,3030,1,1000,8,28,111890.5171283205,475.38182955812954,0.0,True,0.6927528490000441,419.9515 -907.5449;195.5504 -50.3267;630.3925 -130.0710;-106.0540 994.3603;-222.9130 -329.4698;-640.0079 764.5234;942.8323 -155.7564;636.8104 759.8698
4D,False,100,3030,1,1000,8,29,111861.56498635054,504.333971528089,0.0,True,0.6509073160000298,850.6909 -44.5119;-228.6083 852.1274;546.1492 -292.1637;225.6979 817.0233;-712.8956 270.6945;-373.6994 -527.6888;210.4519 -537.3063;731.0808 305.8652
4D,False,100,3030,1,1000,8,30,112132.20733741365,233.69162046497513,0.0,True,0.6667429170000787,-951.6473 28.0996;804.5684 -21.0849;590.5303 764.6098;-49.3000 977.1492;592.3835 -802.3734;-570.0263 590.7283;-557.4873 -322.1319;6.1108 -893.9495
4D,False,100,3030,2,500,4,1,29173.939904560528,87.57367417813293,0.0,True,0.20816292500001055,488.6780 84.9402;-310.2456 -392.1066;-168.6463 469.3714;-493.4151 80.8794
4D,False,100,3030,2,500,4,2,29094.540410144673,166.9731685939878,0.0,True,0.2061017979999633,-298.7182 -400.9582;-490.1436 98.7888;-145.0857 477.0843;488.0941 108.4625
4D,False,100,3030,2,500,4,3,29112.961003972057,148.55257476660336,0.0,True,0.2029477629999974,-197.6124 459.2922;328.6970 22.1804;69.6580 -480.3660;-428.8090 19.0211
4D,False,100,3030,2,500,4,4,29135.92788234786,125.58569639080088,0.0,True,0.20207004000008055,-365.5812 -301.9580;279.9442 74.2445;125.5144 416.8187;398.1107 -302.5027
4D,False,100,3030,2,500,4,5,29093.49250654632,168.0210721923395,0.0,True,0.20596648100001858,471.4186 -132.0967;-218.0898 449.9298;-451.3502 99.7171;139.6643 -480.0978
4D,False,100,3030,2,500,4,6,29179.7006846348,81.81289410385943,0.0,True,0.20971818299994993,463.1432 -9.5469;-469.2278 4.3053;-252.5315 -430.9232;250.9858 429.5189
4D,False,100,3030,2,500,4,7,29034.6795712233,226.834007515361,0.0,True,0.2235595419999754,-197.8153 459.2049;109.3533 -487.8953;-308.0010 -7.5181;499.7935 -14.3696
4D,False,100,3030,2,500,4,8,29025.123345626984,236.39023311167693,0.0,True,0.21962733899999876,-270.8347 -420.2958;-460.2473 195.3777;303.7480 394.1039;-51.6659 -169.9614
4D,False,100,3030,2,500,4,9,29041.156792885806,220.35678585285496,0.0,True,0.21486578000008194,-89.1336 -491.9902;454.7997 163.0424;-105.2128 488.8049;154.1622 -157.1845
4D,False,100,3030,2,500,4,10,29136.001796700843,125.5117820378182,0.0,True,0.20629526900006567,-448.2373 -183.1872;364.7720 29.2952;-61.9516 496.1472;317.2109 -386.4935
4D,False,100,3030,2,500,4,11,29013.28163248412,248.23194625454198,0.0,True,0.21432717800007595,11.3888 499.8703;-94.9554 -490.9007;-478.2073 -96.6403;377.4660 121.1696
4D,False,100,3030,2,500,4,12,29083.65044940173,177.86312933692898,0.0,True,0.22965758499992717,122.6788 484.7163;-24.0724 190.4466;-119.0693 -485.6156;168.7999 -176.8374
4D,False,100,3030,2,500,4,13,29028.291720482644,233.22185825601628,0.0,True,0.20396985200000017,103.4171 -489.1880;442.2331 40.5467;-306.9144 -155.0310;224.6904 446.0064
4D,False,100,3030,2,500,4,14,29026.946587569088,234.56699116957316,0.0,True,0.20371821699995962,-408.7162 244.7136;433.3703 239.3106;15.4817 -499.7603;-483.9934 -125.5003
4D,False,100,3030,2,500,4,15,29098.704337677336,162.80924106132443,0.0,True,0.2061254210000243,29.0306 -145.6154;89.0492 492.0063;-30.2342 -499.0851;279.1240 131.5673
4D,False,100,3030,2,500,4,16,29123.395843676506,138.11773506215468,0.0,True,0.2039262119999421,169.0433 460.1422;-305.8667 -395.2801;-493.7551 73.3008;496.7950 56.5217
4D,False,100,3030,2,500,4,17,28984.731944710205,276.7816340284553,0.0,True,0.20164833299998008,491.5936 91.3002;-322.8661 381.7819;235.0230 -229.7738;-9.6083 -499.9077
