Algorithm,Dataset,Radius,Turbines,Seed,Calls,Objective,Ideal,WakeLoss,Feasible,MinSpacing,Seconds,Linear,Cubic,CubicCutout,Gauss,IdealCubic,IdealCubicCutout
SSA,1,500,2,25,6030,28091.474739469657,28091.474739469657,0.0,True,878.6453895740257,1.7177279699999983,28091.474739469657,23212.67310384682,22101.617458366913,28085.632535545177,23212.67310384682,22101.617458366913
SSA,1,500,2,26,6030,28091.474739469657,28091.474739469657,0.0,True,760.4106965387095,1.7069377979999558,28091.474739469657,23212.67310384682,22101.617458366913,28085.133287281617,23212.67310384682,22101.617458366913
SSA,1,500,2,27,6030,28091.474739469657,28091.474739469657,0.0,True,736.3333465413558,1.6505972829999678,28091.474739469657,23212.67310384682,22101.617458366913,28086.834042158633,23212.67310384682,22101.617458366913
SSA,1,500,2,28,6030,28091.474739469657,28091.474739469657,0.0,True,744.0266977866868,1.7091593719999878,28091.474739469657,23212.67310384682,22101.617458366913,28084.858700656958,23212.67310384682,22101.617458366913
SSA,1,500,2,29,6030,28091.474739469657,28091.474739469657,0.0,True,775.6450630820553,1.7118858530000125,28091.474739469657,23212.67310384682,22101.617458366913,28085.77541013855,23212.67310384682,22101.617458366913
SSA,1,500,2,30,6030,28091.474739469657,28091.474739469657,0.0,True,812.3518099268225,1.6817899940000416,28091.474739469657,23212.67310384682,22101.617458366913,28085.677049779923,23212.67310384682,22101.617458366913
PSO,1,500,2,1,6030,28091.474739469657,28091.474739469657,0.0,True,783.7630523474584,1.7589869020000035,28091.474739469657,23212.67310384682,22101.617458366913,28083.68733324302,23212.67310384682,22101.617458366913
PSO,1,500,2,2,6030,28091.474739469657,28091.474739469657,0.0,True,871.6897683949726,1.8143690389999847,28091.474739469657,23212.67310384682,22101.617458366913,27951.38557640704,23212.67310384682,22101.617458366913
PSO,1,500,2,3,6030,28091.474739469657,28091.474739469657,0.0,True,796.3868220261712,1.96568215100001,28091.474739469657,23212.67310384682,22101.617458366913,28083.980874366913,23212.67310384682,22101.617458366913
PSO,1,500,2,4,6030,28091.474739469657,28091.474739469657,0.0,True,928.5633681345288,1.7862660590000132,28091.474739469657,23212.67310384682,22101.617458366913,28088.963553840804,23212.67310384682,22101.617458366913
PSO,1,500,2,5,6030,28091.474739469657,28091.474739469657,0.0,True,711.3446693050305,1.923348637000004,28091.474739469657,23212.67310384682,22101.617458366913,28081.221565003532,23212.67310384682,22101.617458366913
PSO,1,500,2,6,6030,28091.474739469657,28091.474739469657,0.0,True,867.0355337726728,1.8910469410000128,28091.474739469657,23212.67310384682,22101.617458366913,28087.47542819022,23212.67310384682,22101.617458366913
PSO,1,500,2,7,6030,28091.474739469657,28091.474739469657,0.0,True,877.8523615634756,1.8668931440000165,28091.474739469657,23212.67310384682,22101.617458366913,28088.571667216147,23212.67310384682,22101.617458366913
